meso_cluster_id	meso_cluster_no	parent_macro_cluster_id	n_works
1	02.001	2	383002
2	09.001	9	394213
3	03.001	3	361783
4	17.001	17	372618
5	06.001	6	377114
6	03.002	3	327082
7	04.001	4	339741
8	06.002	6	358901
9	05.001	5	316462
10	07.001	7	347134
11	04.002	4	330170
12	06.003	6	332486
13	14.001	14	304001
14	01.001	1	285777
15	16.001	16	288737
16	02.002	2	265732
17	06.004	6	288355
18	02.003	2	265944
19	05.002	5	287837
20	10.001	10	300998
21	06.005	6	298970
22	20.001	20	257998
23	01.002	1	246354
24	02.004	2	247933
25	16.002	16	262079
26	07.002	7	269382
27	12.001	12	251989
28	05.003	5	266496
29	08.001	8	289071
30	11.001	11	254100
31	02.005	2	238398
32	18.001	18	249818
33	05.004	5	244748
34	17.002	17	251843
35	02.006	2	236675
36	03.003	3	232353
37	01.003	1	223881
38	03.004	3	236194
39	09.002	9	236420
40	04.003	4	248201
41	14.002	14	227142
42	09.003	9	229286
43	04.004	4	236486
44	07.003	7	236904
45	02.007	2	225830
46	07.004	7	248158
47	09.004	9	231886
48	03.005	3	221197
49	14.003	14	214749
50	10.002	10	248877
51	04.005	4	236394
52	07.005	7	228431
53	01.004	1	211833
54	07.006	7	236371
55	03.006	3	220343
56	01.005	1	210058
57	13.001	13	194428
58	02.008	2	208872
59	08.002	8	249561
60	11.002	11	228651
61	03.007	3	205226
62	09.005	9	207761
63	06.006	6	233738
64	04.006	4	215624
65	04.007	4	216240
66	05.005	5	204149
67	17.003	17	203298
68	07.007	7	204012
69	01.006	1	198794
70	12.002	12	197011
71	01.007	1	187285
72	05.006	5	201701
73	02.009	2	188260
74	02.010	2	185285
75	03.008	3	183851
76	11.003	11	200569
77	13.002	13	168338
78	04.008	4	200760
79	02.011	2	180431
80	06.007	6	205024
81	05.007	5	188761
82	05.008	5	185759
83	04.009	4	199344
84	06.008	6	189464
85	02.012	2	177876
86	09.006	9	191980
87	05.009	5	195123
88	12.003	12	176077
89	04.010	4	179105
90	05.010	5	180647
91	10.003	10	209453
92	01.008	1	172098
93	06.009	6	191469
94	02.013	2	172958
95	07.008	7	205328
96	07.009	7	192198
97	03.009	3	164193
98	03.010	3	174113
99	01.009	1	168344
100	02.014	2	169166
101	07.010	7	181551
102	05.011	5	173450
103	18.002	18	173247
104	02.015	2	155255
105	09.007	9	166640
106	02.016	2	163638
107	10.004	10	177867
108	14.004	14	173551
109	06.010	6	184804
110	04.011	4	166573
111	02.017	2	160419
112	05.012	5	170192
113	01.010	1	152463
114	06.011	6	181059
115	03.011	3	169344
116	10.005	10	179931
117	12.004	12	162296
118	15.001	15	163497
119	04.012	4	160700
120	09.008	9	160753
121	01.011	1	155243
122	04.013	4	168078
123	01.012	1	152423
124	15.002	15	159755
125	02.018	2	153957
126	13.003	13	147313
127	09.009	9	161974
128	07.011	7	163164
129	04.014	4	153079
130	03.012	3	172628
131	02.019	2	153811
132	01.013	1	148639
133	02.020	2	146956
134	10.006	10	172093
135	13.004	13	147754
136	04.015	4	167552
137	05.013	5	154070
138	09.010	9	149870
139	18.003	18	155673
140	01.014	1	146757
141	09.011	9	156052
142	14.005	14	149195
143	04.016	4	144650
144	02.021	2	146560
145	06.012	6	172645
146	08.003	8	162137
147	02.022	2	145191
148	03.013	3	153417
149	05.014	5	150182
150	02.023	2	145037
151	03.014	3	155555
152	01.015	1	136805
153	01.016	1	141431
154	01.017	1	143375
155	11.004	11	146468
156	01.018	1	136883
157	15.003	15	143838
158	17.004	17	148129
159	11.005	11	146637
160	03.015	3	154032
161	01.019	1	137450
162	12.005	12	141078
163	15.004	15	139126
164	08.004	8	163894
165	13.005	13	131327
166	14.006	14	137817
167	03.016	3	136513
168	01.020	1	135215
169	01.021	1	133004
170	05.015	5	142651
171	02.024	2	130186
172	07.012	7	145947
173	13.006	13	125407
174	04.017	4	137712
175	11.006	11	138148
176	03.017	3	130410
177	02.025	2	137340
178	19.001	19	147440
179	08.005	8	153394
180	05.016	5	135099
181	06.013	6	153939
182	06.014	6	157436
183	01.022	1	127799
184	08.006	8	148284
185	15.005	15	139183
186	02.026	2	128957
187	03.018	3	130344
188	15.006	15	129798
189	03.019	3	136293
190	04.018	4	140614
191	02.027	2	133149
192	06.015	6	147949
193	08.007	8	150536
194	16.003	16	138850
195	12.006	12	129141
196	05.017	5	136064
197	01.023	1	124405
198	05.018	5	131967
199	07.013	7	132383
200	03.020	3	140482
201	03.021	3	130309
202	02.028	2	132339
203	14.007	14	122237
204	01.024	1	123859
205	11.007	11	126238
206	01.025	1	117995
207	15.007	15	128275
208	08.008	8	139977
209	11.008	11	135484
210	03.022	3	118757
211	03.023	3	128811
212	04.019	4	126707
213	01.026	1	113680
214	09.012	9	121508
215	07.014	7	124597
216	01.027	1	121540
217	01.028	1	114197
218	12.007	12	120062
219	10.007	10	140235
220	05.019	5	121306
221	08.009	8	138041
222	09.013	9	118509
223	19.002	19	145045
224	01.029	1	111976
225	07.015	7	126472
226	16.004	16	128169
227	03.024	3	115459
228	08.010	8	135500
229	03.025	3	120494
230	09.014	9	117328
231	11.009	11	130451
232	03.026	3	107365
233	02.029	2	111868
