meso_cluster_id	source_seq	source_id	n_works
1	1	41354064	93890
1	2	201989124	21812
1	3	205050996	17808
1	4	133942674	15798
1	5	4210200754	11366
1	6	67393510	11227
1	7	111155417	10415
1	8	205754296	10026
1	9	152760256	8874
1	10	21317199	8039
2	1	4306400194	18916
2	2	63459445	7679
2	3	10936095	7083
2	4	196647941	6673
2	5	147316732	6223
2	6	4502562	4610
2	7	2485537415	4526
2	8	49967189	3763
2	9	4306463937	3692
2	10	2493627025	2897
3	1	5555990	7562
3	2	4306525036	7102
3	3	4306402567	7052
3	4	4306463937	5941
3	5	4306463230	5678
3	6	96638545	4823
3	7	30122339	4817
3	8	81474683	4680
3	9	80334769	4237
3	10	160566677	3745
4	1	1980519	53910
4	2	195663288	50439
4	3	205231332	38912
4	4	4306400194	28353
4	5	4210212087	10715
4	6	100695177	9756
4	7	4306463937	9534
4	8	4210175824	6871
4	9	183492911	5415
4	10	4210238307	4963
5	1	4210172589	13619
5	2	4306401271	9106
5	3	4306463937	7361
5	4	4306463855	4255
5	5	4306463223	3518
5	6	4306463716	2657
5	7	4210213280	2330
5	8	4306463409	2275
5	9	4306401280	2129
5	10	10134376	1902
6	1	4306402567	13431
6	2	103225281	9199
6	3	137468011	9117
6	4	4306463937	6144
6	5	202381698	5104
6	6	5555990	4998
6	7	9692511	4083
6	8	4306400194	3930
6	9	68719679	3742
6	10	106296714	3511
7	1	2493613807	8222
7	2	42294715	6555
7	3	4306463937	6355
7	4	32610980	5304
7	5	4306402567	4761
7	6	10623703	4226
7	7	67862205	4162
7	8	48849333	3485
7	9	202381698	3335
7	10	115455909	3260
8	1	4210172589	8737
8	2	4306463937	6676
8	3	4306463409	3215
8	4	4306463855	3155
8	5	93284759	2925
8	6	4306401271	2668
8	7	4210172023	2081
8	8	25235501	2025
8	9	4306401280	1697
8	10	10134376	1682
9	1	2898246533	11932
9	2	2898405271	6021
9	3	51360982	5325
9	4	184954342	5216
9	5	4306400194	5066
9	6	4306463937	4160
9	7	156578089	3638
9	8	88061139	2859
9	9	183498172	2768
9	10	46640599	2692
10	1	119230507	6603
10	2	195250905	6451
10	3	107629180	6010
10	4	36624081	5338
10	5	108821158	5311
10	6	4306501062	4742
10	7	4210228715	4449
10	8	187199247	4306
10	9	207178839	4118
10	10	29724373	3955
11	1	195255895	6428
11	2	4306463937	4545
11	3	202381698	3982
11	4	80660208	3838
11	5	35917800	3127
11	6	4306402567	2643
11	7	102998770	2505
11	8	5043789	2416
11	9	2482021738	2248
11	10	58716519	2140
12	1	4210172589	50858
12	2	4306401271	33548
12	3	4306463937	4272
12	4	4210171147	3498
12	5	4306463716	2511
12	6	4306463855	1992
12	7	36178057	1964
12	8	201533460	1937
12	9	141184754	1795
12	10	4306401280	1740
13	1	4306400573	16450
13	2	4306402450	8413
13	3	4306402567	5765
13	4	4210172589	3532
13	5	202381698	3363
13	6	4306525036	3351
13	7	14436165	3074
13	8	4306400194	2632
13	9	196734849	2466
13	10	2738950867	2029
14	1	4306525036	9823
14	2	49878492	4910
14	3	171311646	3059
14	4	206830620	2858
14	5	148394532	2706
14	6	4306463937	2606
14	7	72944096	2497
14	8	202381698	2440
14	9	129060628	2176
14	10	4306402450	2081
15	1	29875816	9206
15	2	58031724	5549
15	3	198098182	4410
15	4	192268925	2960
15	5	28122330	2854
15	6	2485537415	2772
15	7	203966947	2283
15	8	168377509	2118
15	9	4210179954	2094
15	10	2764857692	2041
16	1	77047749	23951
16	2	146709414	14929
16	3	44567922	8221
16	4	181332294	8044
16	5	4306463937	7649
16	6	164566984	5778
16	7	137865625	5029
16	8	6791298	4450
16	9	185621672	4347
16	10	108417319	4131
17	1	4210172589	46674
17	2	4306400194	17795
17	3	4306401271	9542
17	4	4306463937	4399
17	5	2876017	1937
17	6	9424914	1925
17	7	182850260	1799
17	8	182689569	1771
17	9	198325475	1609
17	10	128350725	1199
18	1	146636433	28363
18	2	171072222	9739
18	3	166159787	7797
18	4	171616156	6578
18	5	203479135	6308
18	6	112227793	6247
18	7	95865439	6111
18	8	4306463937	5815
18	9	16561315	5663
18	10	111155417	4686
19	1	4306400194	47679
19	2	106296714	16883
19	3	2485537415	3654
19	4	4210191458	2313
19	5	2764900261	2205
19	6	110206669	2163
19	7	45693802	2010
19	8	101949793	1975
19	9	4210173141	1748
19	10	199944782	1610
20	1	4306463937	8072
20	2	4306463855	7957
20	3	4210172589	3838
20	4	4306478302	2442
20	5	94618750	1926
20	6	4306401271	1918
20	7	74847328	1538
20	8	4306463895	1444
20	9	4306401280	1287
20	10	156752806	1211
21	1	4306463937	7066
21	2	4210172589	4970
21	3	4306463855	4164
21	4	4210213280	2060
21	5	9692511	1795
21	6	184846731	1751
21	7	166002381	1720
21	8	4306401271	1582
21	9	4306463409	1419
21	10	4317411217	1308
22	1	183492911	14347
22	2	178776955	13025
22	3	2307745	9167
22	4	27723657	8583
22	5	134390580	7735
