micro_cluster_id	keyword_seq	keyword
1	1	Zircon
1	2	Geochronology
1	3	Tectonics
1	4	Granitic Rocks
1	5	Isotopic Composition
1	6	Subduction Zones
1	7	Mantle Evolution
1	8	Plate Tectonics
1	9	Thermodynamic Modeling
1	10	Continental Growth
2	1	Density Functional Theory
2	2	Dispersion Correction
2	3	Ab Initio Parametrization
2	4	Wavefunction Analyzer
2	5	Semiempirical Methods
2	6	Van der Waals Interactions
2	7	Continuum Solvation Models
2	8	Hybrid Density Functionals
2	9	Molecular Simulations
2	10	Electronic Structure Calculations
3	1	Dynamic Capabilities
3	2	Knowledge Transfer
3	3	Business Models
3	4	Innovation Networks
3	5	Organizational Learning
3	6	Absorptive Capacity
3	7	Strategic Alliances
3	8	Social Capital
3	9	Resource-Based View
3	10	Market Orientation
4	1	Soil Carbon Sequestration
4	2	Nitrogen Cycle
4	3	Microbial Communities
4	4	Climate Change
4	5	Biochar Application
4	6	Ecosystem Functioning
4	7	Soil Fertility
4	8	Organic Matter Dynamics
4	9	Nutrient Limitation
4	10	Global Biogeochemical Cycles
5	1	Biodiversity
5	2	Conservation
5	3	Ecosystem
5	4	Invasive Species
5	5	Functional Diversity
5	6	Habitat Fragmentation
5	7	Community Ecology
5	8	Global Change
5	9	Species Richness
5	10	Biological Invasions
6	1	Work Engagement
6	2	Organizational Behavior
6	3	Job Demands-Resources Model
6	4	Mediation Analysis
6	5	Leadership
6	6	Employee Commitment
6	7	Psychological Capital
6	8	Job Satisfaction
6	9	Transformational Leadership
6	10	Human Resource Management
7	1	Monetary Policy
7	2	Fiscal Policy
7	3	Economic Growth
7	4	Financial Development
7	5	Business Cycles
7	6	Panel Data Analysis
7	7	Interest Rates
7	8	Exchange Rates
7	9	Inflation Dynamics
7	10	Structural Change
8	1	Teacher Professional Development
8	2	Qualitative Research Methods
8	3	Teacher Identity
8	4	Educational Leadership
8	5	Technology Integration
8	6	Teacher Efficacy
8	7	Professional Learning Communities
8	8	School Improvement
8	9	Reflective Practice
8	10	Culturally Responsive Teaching
9	1	Alzheimer's Disease
9	2	Mild Cognitive Impairment
9	3	Dementia
9	4	Neuroimaging
9	5	Cognitive Decline
9	6	Biomarkers
9	7	Aging
9	8	Caregiver Burden
9	9	Vascular Risk Factors
9	10	Cognitive Training
10	1	Obesity
10	2	Overweight
10	3	Childhood
10	4	Prevalence
10	5	Health Effects
10	6	Physical Activity
10	7	Dietary Risks
10	8	Epidemiology
10	9	Public Health
10	10	Adolescents
11	1	Postcolonialism
11	2	Race
11	3	Gender
11	4	Literature
11	5	History
11	6	Identity
11	7	Power
11	8	Colonialism
11	9	Society
11	10	Public Sphere
12	1	Population Genetics
12	2	Genetic Structure
12	3	Population Dynamics
12	4	Microsatellite Analysis
12	5	Bayesian Inference
12	6	Genetic Diversity
12	7	Species Delimitation
12	8	Adaptive Evolution
12	9	Phylogeography
12	10	Molecular Markers
13	1	Organocatalysis
13	2	Enantioselective Reactions
13	3	Chiral Catalysts
13	4	Asymmetric Synthesis
13	5	C-C Bond Formation
13	6	Spirooxindoles
13	7	Hydrogen Bonding
13	8	Transition Metal Catalysis
13	9	Quaternary Stereocenters
13	10	Cascade Reactions
14	1	Reactive Oxygen Species
14	2	Antioxidants
14	3	Abiotic Stress
14	4	Signal Transduction
14	5	Oxidative Stress
14	6	Salt Tolerance
14	7	Drought Resistance
14	8	Plant Responses
14	9	Gene Expression
14	10	Stress Signaling
15	1	RNA-seq
15	2	sequence alignment
15	3	phylogenetic analysis
15	4	genome annotation
15	5	transcript quantification
15	6	metagenomics assembly
15	7	sequence variation
15	8	phylogenetic tree
15	9	functional genomics
15	10	quality assessment
16	1	Adsorption
16	2	Contaminant Removal
16	3	Wastewater Treatment
16	4	Surface Area
16	5	Pore Size Distribution
16	6	Biochar
16	7	Heavy Metals
16	8	Dye Removal
16	9	Nanomaterials
16	10	Biosorption
17	1	Climate Change
17	2	Paleoclimatology
17	3	Glacial Cycles
17	4	Holocene
17	5	Sea Level
17	6	Monsoon Dynamics
17	7	Greenhouse Warming
17	8	Ice Core Records
17	9	Solar Influence
17	10	Atmospheric CO2
18	1	Lithium-ion Batteries
18	2	Battery Materials
18	3	Energy Storage
18	4	Nanostructured Anodes
18	5	Cathode Materials
18	6	Electrochemical Performance
18	7	Rechargeable Batteries
18	8	Anode Materials
18	9	Battery Technology
18	10	Electrode Materials
19	1	Corporate Governance
19	2	Investor Protection
19	3	Ownership Structure
19	4	Financial Constraints
19	5	Firm Performance
19	6	Dividend Policy
19	7	Capital Structure
19	8	Board Composition
19	9	Institutional Investors
19	10	Mergers and Acquisitions
20	1	Quantum
20	2	Entanglement
20	3	Cryptography
20	4	Computation
20	5	Metrology
20	6	Superconducting Circuits
20	7	Photon
20	8	Measurement
20	9	Security
20	10	Communication
21	1	Second Language Acquisition
21	2	Language Teaching
21	3	Corrective Feedback
21	4	L2 Motivation
21	5	Task-based Instruction
21	6	Language Anxiety
21	7	Teacher Cognition
21	8	Lingua Franca English
21	9	Language Learning Strategies
21	10	Interlanguage Development
22	1	Quantum Dots
22	2	Semiconductor
22	3	Single-Photon Source
22	4	Excitons
22	5	Microcavity
22	6	Band Parameters
22	7	Entangled Photons
22	8	Optical Emission
22	9	Nanowires
22	10	Photovoltaics
23	1	Antipsychotic Drugs
23	2	Neurocognitive Deficits
23	3	Genetic Association Studies
23	4	Metabolic Syndrome
23	5	Neurodevelopmental Model
23	6	Cognitive Therapy
23	7	Social Cognition
23	8	Prodromal Symptoms
23	9	Dopamine Dysfunction
23	10	Neuroanatomical Abnormalities
24	1	Photocatalysis
24	2	Solar Cells
24	3	Titanium Dioxide
24	4	Nanomaterials
24	5	Visible Light
24	6	Dye-Sensitized
24	7	Water Splitting
24	8	Nanostructures
24	9	Efficiency
24	10	Semiconductor Nanocrystals
25	1	Holographic
25	2	Field Theories
25	3	Gravity
25	4	String Theory
25	5	Quantum Entanglement
25	6	Black Holes
25	7	AdS/CFT Correspondence
25	8	Supergravity
25	9	Conformal Symmetry
25	10	Quantum Gravity
26	1	Galaxies
26	2	Cosmology
26	3	Black Holes
26	4	Stellar Populations
26	5	Star Formation
26	6	Dark Matter
26	7	Cosmic Evolution
26	8	Quasars
26	9	Sloan Digital Sky Survey
26	10	Astrophysical Simulations
27	1	Metabolic Syndrome
27	2	Cardiovascular Disease
27	3	Diabetes
27	4	Insulin Resistance
27	5	Obesity
27	6	Glucose Metabolism
27	7	Atherosclerosis
27	8	Lifestyle Intervention
27	9	Cholesterol
27	10	Global Prevalence
28	1	Neural Networks
28	2	Word Representation
28	3	Machine Translation
28	4	Text Classification
28	5	Semantic Similarity
28	6	Named Entity Recognition
28	7	Pretrained Models
28	8	Sequence-to-Sequence Learning
28	9	Topic Modeling
28	10	Information Retrieval
29	1	Climate Change
29	2	Global Warming
29	3	Extreme Events
29	4	Climate Modeling
29	5	Precipitation Extremes
29	6	Ocean Circulation
29	7	ENSO Variability
29	8	Arctic Amplification
29	9	Hydrological Cycle
