micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
1	1	4	1	True
2	1	3	1	True
3	1	1	1	True
4	1	4	1	True
5	1	4	1	True
6	1	1	1	True
7	1	1	1	True
8	1	1	1	True
9	1	2	1	True
10	1	2	0.5	True
10	2	1	0.5	False
11	1	1	1	True
12	1	4	0.5	True
12	2	2	0.5	False
13	1	3	1	True
14	1	4	0.5	True
14	2	2	0.5	False
15	1	2	0.5	True
15	2	4	0.5	False
16	1	3	1	True
17	1	4	1	True
18	1	3	1	True
19	1	1	1	True
20	1	3	0.5	True
20	2	5	0.5	False
21	1	1	1	True
22	1	3	1	True
23	1	2	1	True
24	1	3	1	True
25	1	3	0.5	True
25	2	5	0.5	False
26	1	3	1	True
27	1	2	1	True
28	1	5	1	True
29	1	4	1	True
30	1	3	1	True
31	1	2	1	True
32	1	4	1	True
33	1	3	1	True
34	1	1	1	True
35	1	4	0.3333333333333333	True
35	2	2	0.3333333333333333	False
35	3	3	0.3333333333333333	False
36	1	5	1	True
37	1	3	1	True
38	1	2	1	True
39	1	3	1	True
40	1	5	1	True
41	1	2	1	True
42	1	1	0.5	True
42	2	2	0.5	False
43	1	2	0.5	True
43	2	1	0.5	False
44	1	3	0.5	True
44	2	2	0.5	False
45	1	3	1	True
46	1	5	1	True
47	1	1	1	True
48	1	3	1	True
49	1	3	1	True
50	1	5	1	True
51	1	2	1	True
52	1	5	1	True
53	1	1	1	True
54	1	5	1	True
55	1	1	1	True
56	1	2	1	True
57	1	5	1	True
58	1	1	1	True
59	1	3	0.5	True
59	2	2	0.5	False
60	1	2	1	True
61	1	5	1	True
62	1	2	1	True
63	1	3	0.5	True
63	2	2	0.5	False
64	1	5	1	True
65	1	2	1	True
66	1	2	1	True
67	1	5	0.5	True
67	2	1	0.5	False
68	1	1	0.5	True
68	2	5	0.5	False
69	1	5	0.5	True
69	2	3	0.5	False
70	1	1	1	True
71	1	2	1	True
72	1	1	1	True
73	1	2	1	True
74	1	3	1	True
75	1	4	0.5	True
75	2	3	0.5	False
76	1	4	0.5	True
76	2	2	0.5	False
77	1	2	1	True
78	1	3	1	True
79	1	3	0.5	True
79	2	2	0.5	False
80	1	5	1	True
81	1	1	1	True
82	1	2	1	True
83	1	3	1	True
84	1	2	1	True
85	1	2	1	True
86	1	2	1	True
87	1	4	0.5	True
87	2	1	0.5	False
88	1	3	0.5	True
88	2	4	0.5	False
89	1	4	1	True
90	1	3	1	True
91	1	2	1	True
92	1	3	1	True
93	1	3	1	True
94	1	2	1	True
95	1	3	1	True
96	1	3	1	True
97	1	3	1	True
98	1	4	1	True
99	1	3	1	True
100	1	5	1	True
101	1	5	1	True
102	1	1	0.5	True
102	2	5	0.5	False
103	1	1	1	True
104	1	3	1	True
105	1	2	1	True
106	1	1	0.5	True
106	2	2	0.5	False
107	1	3	1	True
108	1	1	1	True
109	1	4	1	True
110	1	4	1	True
111	1	4	1	True
112	1	2	1	True
113	1	3	0.5	True
113	2	2	0.5	False
114	1	2	1	True
115	1	1	1	True
116	1	2	1	True
117	1	3	1	True
118	1	2	1	True
119	1	1	0.5	True
119	2	4	0.5	False
120	1	2	1	True
121	1	3	0.5	True
121	2	5	0.5	False
122	1	4	0.5	True
122	2	2	0.5	False
123	1	2	1	True
124	1	2	1	True
125	1	5	1	True
126	1	5	1	True
127	1	1	1	True
128	1	1	1	True
129	1	2	1	True
130	1	1	1	True
131	1	3	1	True
132	1	3	1	True
133	1	1	1	True
134	1	2	1	True
135	1	4	1	True
136	1	5	1	True
137	1	2	1	True
138	1	5	1	True
139	1	4	1	True
140	1	4	1	True
141	1	2	0.5	True
141	2	4	0.5	False
142	1	5	1	True
143	1	2	1	True
144	1	2	1	True
145	1	1	1	True
146	1	2	1	True
147	1	2	1	True
148	1	5	1	True
149	1	1	1	True
150	1	2	1	True
151	1	2	1	True
152	1	4	0.5	True
152	2	2	0.5	False
153	1	1	1	True
154	1	1	1	True
155	1	2	1	True
156	1	1	0.5	True
156	2	2	0.5	False
157	1	2	1	True
158	1	2	1	True
159	1	4	0.5	True
159	2	3	0.5	False
160	1	3	0.5	True
160	2	4	0.5	False
161	1	3	1	True
162	1	1	0.5	True
162	2	5	0.5	False
163	1	3	1	True
164	1	1	1	True
165	1	1	1	True
166	1	2	1	True
167	1	2	1	True
168	1	2	0.5	True
168	2	1	0.5	False
169	1	2	1	True
170	1	2	1	True
171	1	4	0.3333333333333333	True
171	2	3	0.3333333333333333	False
171	3	2	0.3333333333333333	False
172	1	2	1	True
173	1	3	0.5	True
173	2	5	0.5	False
174	1	4	1	True
175	1	5	1	True
176	1	2	1	True
177	1	2	0.5	True
177	2	1	0.5	False
178	1	2	1	True
179	1	3	1	True
180	1	3	1	True
181	1	5	1	True
182	1	1	0.5	True
182	2	2	0.5	False
183	1	2	1	True
184	1	2	0.5	True
184	2	4	0.5	False
185	1	2	1	True
186	1	2	0.5	True
186	2	1	0.5	False
187	1	5	0.5	True
187	2	3	0.5	False
188	1	3	1	True
189	1	2	1	True
190	1	2	0.5	True
190	2	4	0.5	False
191	1	5	1	True
192	1	3	1	True
193	1	2	1	True
194	1	5	1	True
195	1	2	1	True
196	1	2	1	True
197	1	3	1	True
198	1	2	1	True
199	1	4	1	True
200	1	2	1	True
201	1	5	1	True
202	1	2	1	True
203	1	5	1	True
204	1	3	1	True
205	1	3	1	True
206	1	2	0.3333333333333333	True
206	2	1	0.3333333333333333	False
206	3	5	0.3333333333333333	False
207	1	3	0.5	True
207	2	2	0.5	False
208	1	1	1	True
209	1	2	0.5	True
209	2	1	0.5	False
210	1	3	0.5	True
210	2	4	0.5	False
211	1	2	0.3333333333333333	True
211	2	5	0.3333333333333333	False
211	3	3	0.3333333333333333	False
212	1	3	1	True
213	1	1	1	True
214	1	1	1	True
215	1	5	1	True
216	1	1	1	True
217	1	2	1	True
218	1	2	1	True
219	1	3	1	True
220	1	5	0.5	True
220	2	3	0.5	False
221	1	3	0.5	True
221	2	5	0.5	False
222	1	2	1	True
223	1	5	1	True
224	1	3	1	True
225	1	4	0.5	True
225	2	2	0.5	False
226	1	4	0.5	True
226	2	1	0.5	False
227	1	2	1	True
